id,name,ppOld,ppNew,ppDiff,minuteUpdated
22644968,DaneyK,8218.57,7513.45,-1200,28166621
3001648,Darkform,8094.44,7513.45,-657,28166624
3885723,Varsagus,7993.37,7513.40,96,28166627
14920567,Baden,8172.98,7513.29,-1183,28166622
13514678,MordeyMay,8224.29,7513.26,-1111,28166621
10613111,darkeae,8239.54,7513.04,-1384,28166620
5042825,Kurt,8089.22,7512.86,-694,28166624
7819055,Definition,8080.94,7512.85,-349,28166624
7783090,Yazaki,8039.74,7512.84,-474,28166625
7182406,crimevan,8168.63,7512.82,-1000,28166622
14264625,- Fia -,8146.85,7512.74,-1457,28166623
9739344,Sem Kef,8119.86,7512.29,-1303,28166623
28290392,_HYUK,7973.04,7512.27,-738,28166627
14812612,SUJUNHAO,7983.71,7511.94,-41,28166627
9377682,niantasan,7957.88,7511.79,-379,28166628
14832210,MyAimSwopy2,8142.78,7511.60,-1616,28166623
4597873,Dirt,8195.68,7511.51,-1237,28166621
5661873,Sana-,8074.35,7511.24,-1071,28166624
6986661,sxrvyr,8004.9,7511.17,-1242,28166626
8175874,-Mashiro,8177.14,7511.04,-1174,28166622
9570455,squashyboy,8026.55,7510.94,-820,28166626
6566698,Nayrus,8042.64,7510.59,-754,28166625
20574754,NoLifeGod,7919.96,7510.43,-889,28166629
11143695,Azurize,8045.4,7510.22,-1141,28166625
7465916,Oise,7943.86,7510.00,-476,28166628
5098752,Klappy,7990.07,7509.98,-138,28166627
7290585,Masshorse,8152.74,7509.95,-738,28166622
9947204,Marredit,8032.97,7509.84,-919,28166626
14340694,Cowbird,8068.66,7509.79,-766,28166625
10248474,TinyL0liGirl,8192.97,7509.74,-1461,28166621
5034689,ssilly,8166.98,7509.63,-525,28166622
10831040,Crookst,8021.11,7509.63,-822,28166626
10398422,ScautTheGamer,7923.36,7509.59,-275,28166628
8385190,_DerF,7967.36,7509.57,-445,28166627
14413409,ALto-,8102.21,7509.53,-999,28166624
6518232,kopje,8101.98,7508.65,-1355,28166624
13629290,Zuhi,8397.49,7507.86,-1856,28166617
9642390,Luckydaka,8195.42,7507.75,-634,28166621
9474978,ThatOneSpud,8265.26,7507.72,-1343,28166620
11456628,Moca Aoba,8048.42,7507.34,-502,28166625
4600838,Uta - chan,7966.26,7507.22,-308,28166627
5362798,Shuvi-,8183.4,7507.17,-1046,28166622
12155939,abbearv,7983.44,7507.07,-1210,28166627
14252355,Clver,8026.12,7506.52,-1166,28166626
8580419,Vanti,8046.04,7506.31,-614,28166625
17467899,Qumania,8107.45,7506.24,-457,28166624
3716623,Satorha,7960.55,7506.18,-1107,28166627
10918437,ripfc,7987.96,7506.07,-1182,28166627
5570153,Trehaloses,8083.57,7504.90,-1024,28166624
12479665,125,8097.14,7504.73,-984,28166624
9923669,iRiptide,7915.17,7504.72,-345,28166629
7077554,KmK,7969.36,7504.65,-567,28166627
9583478,MarcusS,8368.59,7504.54,-1488,28166617
8934041,Gooseman,7918.65,7504.51,-574,28166629
9694443,Gosardo,8109.29,7503.46,-1253,28166624
4925889,patocoach,8061.46,7503.23,-886,28166625
12413578,KunkSama,8005.58,7503.17,-552,28166626
12497888,Haricle,8158.94,7502.83,-1629,28166622
8848902,cycle hit,8156.57,7502.79,-537,28166622
7919284,Ihsken,8118.69,7502.46,-1251,28166623
21049273,dorimeha,7995.26,7502.44,-793,28166627
12011021,unknownpattern,8005.49,7502.28,-25,28166626
5082763,Neuenmuller,8042.31,7502.01,-813,28166625
6325803,LAETE,8099.79,7501.91,-1285,28166624
8373638,dm900,8238.66,7501.78,-1301,28166620
6296290,Pokentos,7984.61,7501.76,-326,28166627
10470806,TheBigDrop,8133.11,7501.65,-1367,28166623
12713671,AkioZeT30,8070.38,7501.25,-915,28166625
11773618,0uch,8014.67,7500.96,-858,28166626
5552795,Mike5801,8092.14,7500.93,-866,28166624
12955488,iZenic,8111.92,7500.65,-904,28166624
17650034,Andruf12,8029.85,7500.07,-677,28166626
14565531,fourmaL,8049.93,7499.97,-1236,28166625
11191353,daku91,7941.63,7499.84,-184,28166628
24695161,Amaewa,8155.25,7499.75,-1663,28166622
12190011,Seclaso,8144,7499.64,-1249,28166623
7643728,Mixa951,8027.08,7499.58,-794,28166626
4667643,Chisayo,8060.8,7499.53,-428,28166625
4511495,offline player,7979.35,7499.53,-699,28166627
12195391,CMeFly,8073.62,7499.43,-630,28166624
10819309,Fluppe,7972.79,7499.31,-360,28166627
13155972,ayanami kai,8134.8,7499.21,-1227,28166623
8119712,sLtink,8147.65,7499.08,-753,28166622
6847482,Crayfist,7988.87,7498.94,-615,28166627
14223286,Polar bear321,8038.81,7498.61,-1113,28166626
9432588,sirsamhaynes,8029.29,7498.42,-312,28166626
17373073,h1ngetu,8126.8,7498.23,-1423,28166623
8664972,Moaji,8011.51,7498.19,-697,28166626
15742156,Concheliga,8129.64,7497.93,-987,28166623
6310466,Codalix,8050.69,7497.35,143,28166625
14833619,TzArtifactz,8000.58,7497.22,-699,28166627
9710804,Exotica,8037.82,7496.67,-663,28166626
21643005,Adderall,8104.38,7495.24,-1342,28166624
8415915,AzureHarp,8083.75,7494.57,-170,28166624
14373390,Knee Cutter,8187.33,7494.53,-1532,28166622
8408517,SkyL3D,8101.22,7494.44,-1128,28166624
1997960,olonavy,8074.16,7494.41,-861,28166624
10777733,GanyuMyMommy,8116.24,7494.00,-1307,28166623
11035926,ones amura,8193.06,7493.79,-1033,28166621
5283897,ArieBaka,8285.26,7493.75,-1522,28166619
11217972,jackythecow,8048.42,7493.66,-733,28166625
8048490,ReserMaitX,8123.68,7493.33,-756,28166623
8028288,Saracen,8150.64,7493.28,-1122,28166622
6822830,Rytrex,7969.95,7493.22,-985,28166627
11447290,0GX1,8263.9,7492.44,-1455,28166620
11639103,Yumiyo,8212.38,7492.01,-904,28166621
9207302,Painsecte,8096.98,7491.68,-1049,28166624
12507183,-[Re_Origin]-,7910.47,7491.53,-692,28166629
5470553,Sea-Otter,8111.6,7490.24,-969,28166624
5050004,MiyohashiKoori,8031.07,7489.11,-747,28166626
6884491,Nitricity,7908.72,7488.22,-259,28166629
