id,name,ppOld,ppNew,ppDiff,minuteUpdated
28583507,Kita Dinosaur,7742.5,7314.39,-288,28167558
24767980,VanossGaming,7414.69,7314.27,938,28167561
6146771,Stiitch,7693.91,7313.34,42,28167558
16561299,hren228,7576.68,7313.21,376,28167559
18135376,Nvbie,7802.68,7313.12,106,28167558
27692489,yeahitsaubrey,7648.92,7313.09,16,28167559
25427616,Haspy,7723.63,7312.50,-358,28167558
16681100,thisu,7483.28,7311.60,518,28167560
28358709,TerabyTe_I,7651.15,7311.59,-296,28167559
18426135,KrucilGmin_o,7514.33,7311.30,812,28167560
5259743,-Xenovia-,7901.25,7310.88,158,28167557
28267435,Melusine_,7240.23,7310.58,1537,28167562
19350815,D0ra3mon,7320.47,7310.54,372,28167561
13630392,kelonis,7650.18,7309.64,-192,28167559
26090734,KimMui,7457.94,7309.12,939,28167560
8751287,Toramaru[Syou],7324.55,7308.90,1582,28167561
9241483,alstlr1324,7160.96,7308.48,1873,28167562
16247992,Snowier,7750.64,7308.40,-379,28167558
19216973,-Leviathan-,7643,7308.40,-36,28167559
8089619,not don,7598.17,7308.13,-22,28167559
16295121,[BD] R4F1X,7800.93,7307.66,-38,28167558
17057515,zVols,7656.88,7307.38,140,28167559
19858212,shoune,7659.99,7307.34,327,28167559
22974519,ElGruliooo,7558.43,7306.95,407,28167559
22996807,OutReastLast,7555.9,7306.70,170,28167559
3769765,Alphawhen,7680.17,7306.13,92,28167558
9680548,oioi,7729.58,7305.97,-82,28167558
27280184,aaf3942,7807.3,7305.96,-96,28167558
13092888,[GB]Yuria,7635.92,7305.68,95,28167559
5285159,machodude,7555.86,7305.13,385,28167559
14001000,Paraxia,7562.02,7304.97,126,28167559
15984485,_Owen_,7736.06,7304.93,-158,28167558
6860160,hzsm,7275.55,7304.84,1675,28167562
8565077,ElCrepo,7580.11,7304.77,-40,28167559
27835620,NovaProXGD,7845.95,7304.73,-205,28167557
14246961,Thermal-,7757.38,7304.56,-278,28167558
14905013,Reyvateils,7493.41,7303.84,138,28167560
14482131,3ggyman,7659.62,7303.58,89,28167559
7751704,Aishdoll-,7531.13,7303.36,1153,28167560
18060303,Takedown05,7726.52,7302.87,-22,28167558
23155757,ZeroKungz,7602.83,7302.67,116,28167559
9694799,Light_dragon2,7869.54,7302.66,-217,28167557
18717619,DontDenationJef,7658.64,7302.44,-48,28167559
18542586,0nedoor,7458.62,7301.11,510,28167560
2963136,Reno-,7731.6,7300.97,509,28167558
10516814,hownewb233,7611.77,7300.88,236,28167559
22318558,ZhadowFreh,7643.2,7300.09,-97,28167559
21865857,-Sugos,7452.15,7299.24,705,28167560
23603171,wZeduss,7514.97,7299.08,645,28167560
9456950,Schynagel,7674.16,7298.16,185,28167558
17784556,Himeto Aqua,7639.72,7298.08,5,28167559
8917518,Nivea_98,7477.03,7296.56,552,28167560
24229334,Wekoverr,7654.79,7296.48,-349,28167559
4574617,- K a n o -,7694.21,7296.30,552,28167558
30932876,GoofyAHElgato,7457.68,7296.30,529,28167560
18495953,sisi -,7710.23,7296.24,-151,28167558
24497203,KatsuoKB,7502.36,7296.18,-87,28167560
21483666,Pro777CooGamer,7599.62,7295.66,127,28167559
19053747,Nexuzz,7715.05,7294.66,-139,28167558
8500664,picksaw,7760.75,7294.60,-204,28167558
16165084,NS32_Angels,7635.44,7294.48,472,28167559
8274394,Elithiel,7666.52,7294.26,3,28167558
20905917,TheZaphkiel325,7479.4,7294.24,-348,28167560
4299868,TTM750,7236.71,7293.89,1454,28167562
7883617,[Arkona],7691.28,7293.81,463,28167558
8355106,Blu-AiR-,7777.59,7293.77,-113,28167558
20803806,Firdibirdy,7522.62,7293.59,1010,28167560
5767851,Duriana,7848.32,7292.89,200,28167557
9194799,AlexDunk,7649.57,7292.74,299,28167559
26190361,[Surv],7580,7292.70,-246,28167559
13106166,PianoDude8918,7612.45,7292.26,282,28167559
13747081,ainesegg,7556.6,7291.53,641,28167559
18014739,ChaerinL,7693,7291.12,-381,28167558
20564403,Hertz_O,7600.45,7291.09,920,28167559
25186211,Dengeregor,7599.22,7290.59,135,28167559
23197222,vicentycon,7662.87,7290.35,144,28167559
20690006,insanespaceman,7504.67,7289.54,576,28167560
25294372,Kuroyaka,7640.13,7289.40,26,28167559
16494937,zachleeplays,7515.73,7289.39,671,28167560
14144601,tweety0907,7688.92,7288.74,-72,28167558
3503058,swlie,7243.74,7288.24,1216,28167562
17653464,IDontKnow2,7714.59,7287.75,-70,28167558
17157931,RandomDerpXDXD,7635.57,7287.47,159,28167559
1694466,0d1ddu33,7630.51,7287.35,961,28167559
15526127,JuHaa,7560.31,7286.80,798,28167559
32198049,bachedadcheese,7524.21,7286.79,166,28167560
14365064,wingywingy,7680.4,7286.66,-35,28167558
9954704,-Hanamaru,7722.83,7286.43,10,28167558
21725911,[PCS] GuraSimp,7604.19,7285.43,-10,28167559
15967851,Pointless-21,7495.29,7285.20,447,28167560
12567167,wayne-,7551.25,7284.80,791,28167559
9957152,yuyuru,7604.68,7284.33,174,28167559
31943070,jazzman123,7419.55,7284.19,-270,28167560
9517612,LuriCookie,7773.26,7283.82,309,28167558
24873250,_Fozter,7396.6,7283.10,959,28167561
9014584,Nabi-,7853.81,7282.28,235,28167557
13450752,CpuX,7610.58,7282.11,259,28167559
29411700,extrasyrup,7181.94,7282.08,1762,28167562
24418662,ELMANZANERO24,7604.06,7281.62,-101,28167559
18938900,LeGoat,7376.82,7281.21,845,28167561
20273642,andracula_,7634.39,7280.50,-107,28167559
26515778,Rifqi Kamluddin,7657.52,7278.95,184,28167559
9481266,[GS]Rose,7541.58,7278.07,633,28167559
9528367,AyanoFanGirl,7465.72,7276.71,1012,28167560
25823401,veryocrane,7520.98,7276.63,403,28167560
17007406,DogMania,7637.23,7276.04,-91,28167559
9623928,Mimosa_,7528.8,7275.91,315,28167560
27595083,Joaco osu,7595.39,7275.81,394,28167559
25656173,-[ ducky ]-,7651.54,7275.39,-251,28167559
17548825,Likieras,7556.96,7275.26,18,28167559
24150986,AlexitoXD1,7718.7,7275.09,73,28167558
25568885,Liko Meru,7720.29,7275.03,-274,28167558
16347170,small_dev,7518.99,7274.57,207,28167560
20689466,Samu_2211,7753.29,7274.55,-346,28167558
16130371,powerboda,7766.65,7274.12,160,28167558
4881508,Ornamentum,7661.88,7273.47,-175,28167559
